Age,Gender,Veh,CrashDegree,number
17-20,Male,Car,fatal,53
21-25,Male,Car,fatal,37
26-29,Male,Car,fatal,19
30-39,Male,Car,fatal,44
40-49,Male,Car,fatal,34
50-59,Male,Car,fatal,31
>60,Male,Car,fatal,24
>60,Male,Car,fatal,36
17-20,Female,Car,fatal,21
21-25,Female,Car,fatal,19
26-29,Female,Car,fatal,8
30-39,Female,Car,fatal,31
40-49,Female,Car,fatal,26
50-59,Female,Car,fatal,23
>60,Female,Car,fatal,8
>60,Female,Car,fatal,11
17-20,Male,Light truck,fatal,5
21-25,Male,Light truck,fatal,15
26-29,Male,Light truck,fatal,10
30-39,Male,Light truck,fatal,16
40-49,Male,Light truck,fatal,15
50-59,Male,Light truck,fatal,12
>60,Male,Light truck,fatal,6
>60,Male,Light truck,fatal,4
40-49,Female,Light truck,fatal,3
50-59,Female,Light truck,fatal,2
26-29,Male,bus; heavy rigid or articulated truck,fatal,2
30-39,Male,bus; heavy rigid or articulated truck,fatal,7
40-49,Male,bus; heavy rigid or articulated truck,fatal,9
50-59,Male,bus; heavy rigid or articulated truck,fatal,10
>60,Male,bus; heavy rigid or articulated truck,fatal,1
21-25,Male,bus; heavy rigid or articulated truck,fatal,1
26-29,Male,bus; heavy rigid or articulated truck,fatal,8
30-39,Male,bus; heavy rigid or articulated truck,fatal,17
40-49,Male,bus; heavy rigid or articulated truck,fatal,14
50-59,Male,bus; heavy rigid or articulated truck,fatal,14
>60,Male,bus; heavy rigid or articulated truck,fatal,4
26-29,Male,bus; heavy rigid or articulated truck,fatal,1
40-49,Male,bus; heavy rigid or articulated truck,fatal,5
50-59,Male,bus; heavy rigid or articulated truck,fatal,3
>60,Male,bus; heavy rigid or articulated truck,fatal,3
>60,Male,bus; heavy rigid or articulated truck,fatal,1
40-49,Female,bus; heavy rigid or articulated truck,fatal,2
17-20,Male,Motorcycle,fatal,8
21-25,Male,Motorcycle,fatal,9
26-29,Male,Motorcycle,fatal,8
30-39,Male,Motorcycle,fatal,15
40-49,Male,Motorcycle,fatal,11
50-59,Male,Motorcycle,fatal,5
>60,Male,Motorcycle,fatal,1
>60,Male,Motorcycle,fatal,2
30-39,Female,Motorcycle,fatal,1
50-59,Female,Motorcycle,fatal,1
17-20,Male,Car,injury,2123
21-25,Male,Car,injury,2005
26-29,Male,Car,injury,1290
30-39,Male,Car,injury,2803
40-49,Male,Car,injury,2433
50-59,Male,Car,injury,1737
>60,Male,Car,injury,974
>60,Male,Car,injury,882
17-20,Female,Car,injury,1490
21-25,Female,Car,injury,1664
26-29,Female,Car,injury,1039
30-39,Female,Car,injury,2449
40-49,Female,Car,injury,2156
50-59,Female,Car,injury,1308
>60,Female,Car,injury,555
>60,Female,Car,injury,445
17-20,Male,Light truck,injury,212
21-25,Male,Light truck,injury,329
26-29,Male,Light truck,injury,260
30-39,Male,Light truck,injury,627
40-49,Male,Light truck,injury,479
50-59,Male,Light truck,injury,322
>60,Male,Light truck,injury,137
>60,Male,Light truck,injury,51
17-20,Female,Light truck,injury,24
21-25,Female,Light truck,injury,25
26-29,Female,Light truck,injury,20
30-39,Female,Light truck,injury,64
40-49,Female,Light truck,injury,64
50-59,Female,Light truck,injury,24
>60,Female,Light truck,injury,10
>60,Female,Light truck,injury,4
17-20,Male,bus; heavy rigid or articulated truck,injury,7
21-25,Male,bus; heavy rigid or articulated truck,injury,45
26-29,Male,bus; heavy rigid or articulated truck,injury,32
30-39,Male,bus; heavy rigid or articulated truck,injury,144
40-49,Male,bus; heavy rigid or articulated truck,injury,143
50-59,Male,bus; heavy rigid or articulated truck,injury,98
>60,Male,bus; heavy rigid or articulated truck,injury,27
>60,Male,bus; heavy rigid or articulated truck,injury,2
50-59,Female,bus; heavy rigid or articulated truck,injury,1
21-25,Male,bus; heavy rigid or articulated truck,injury,26
26-29,Male,bus; heavy rigid or articulated truck,injury,50
30-39,Male,bus; heavy rigid or articulated truck,injury,182
40-49,Male,bus; heavy rigid or articulated truck,injury,166
50-59,Male,bus; heavy rigid or articulated truck,injury,116
>60,Male,bus; heavy rigid or articulated truck,injury,28
>60,Male,bus; heavy rigid or articulated truck,injury,2
50-59,Female,bus; heavy rigid or articulated truck,injury,1
17-20,Male,bus; heavy rigid or articulated truck,injury,2
21-25,Male,bus; heavy rigid or articulated truck,injury,11
26-29,Male,bus; heavy rigid or articulated truck,injury,20
30-39,Male,bus; heavy rigid or articulated truck,injury,51
40-49,Male,bus; heavy rigid or articulated truck,injury,83
50-59,Male,bus; heavy rigid or articulated truck,injury,95
>60,Male,bus; heavy rigid or articulated truck,injury,49
>60,Male,bus; heavy rigid or articulated truck,injury,6
21-25,Female,bus; heavy rigid or articulated truck,injury,2
26-29,Female,bus; heavy rigid or articulated truck,injury,2
30-39,Female,bus; heavy rigid or articulated truck,injury,13
40-49,Female,bus; heavy rigid or articulated truck,injury,15
50-59,Female,bus; heavy rigid or articulated truck,injury,6
>60,Female,bus; heavy rigid or articulated truck,injury,1
17-20,Male,Motorcycle,injury,217
21-25,Male,Motorcycle,injury,304
26-29,Male,Motorcycle,injury,229
30-39,Male,Motorcycle,injury,497
40-49,Male,Motorcycle,injury,318
50-59,Male,Motorcycle,injury,172
>60,Male,Motorcycle,injury,43
>60,Male,Motorcycle,injury,7
17-20,Female,Motorcycle,injury,16
21-25,Female,Motorcycle,injury,26
26-29,Female,Motorcycle,injury,21
30-39,Female,Motorcycle,injury,42
40-49,Female,Motorcycle,injury,31
50-59,Female,Motorcycle,injury,10
>60,Female,Motorcycle,injury,3
>60,Female,Motorcycle,injury,2
17-20,Male,Car,non-casualty,4260
21-25,Male,Car,non-casualty,3719
26-29,Male,Car,non-casualty,2264
30-39,Male,Car,non-casualty,4505
40-49,Male,Car,non-casualty,3697
50-59,Male,Car,non-casualty,2609
>60,Male,Car,non-casualty,1452
>60,Male,Car,non-casualty,1215
17-20,Female,Car,non-casualty,2140
21-25,Female,Car,non-casualty,2226
26-29,Female,Car,non-casualty,1410
30-39,Female,Car,non-casualty,3308
40-49,Female,Car,non-casualty,2704
50-59,Female,Car,non-casualty,1638
>60,Female,Car,non-casualty,759
>60,Female,Car,non-casualty,606
17-20,Male,Light truck,non-casualty,325
21-25,Male,Light truck,non-casualty,493
26-29,Male,Light truck,non-casualty,357
30-39,Male,Light truck,non-casualty,906
40-49,Male,Light truck,non-casualty,656
50-59,Male,Light truck,non-casualty,473
>60,Male,Light truck,non-casualty,197
>60,Male,Light truck,non-casualty,51
17-20,Female,Light truck,non-casualty,22
21-25,Female,Light truck,non-casualty,44
26-29,Female,Light truck,non-casualty,34
30-39,Female,Light truck,non-casualty,90
40-49,Female,Light truck,non-casualty,68
50-59,Female,Light truck,non-casualty,33
>60,Female,Light truck,non-casualty,16
>60,Female,Light truck,non-casualty,5
17-20,Male,bus; heavy rigid or articulated truck,non-casualty,8
21-25,Male,bus; heavy rigid or articulated truck,non-casualty,60
26-29,Male,bus; heavy rigid or articulated truck,non-casualty,75
30-39,Male,bus; heavy rigid or articulated truck,non-casualty,227
40-49,Male,bus; heavy rigid or articulated truck,non-casualty,213
50-59,Male,bus; heavy rigid or articulated truck,non-casualty,147
>60,Male,bus; heavy rigid or articulated truck,non-casualty,48
>60,Male,bus; heavy rigid or articulated truck,non-casualty,4
30-39,Female,bus; heavy rigid or articulated truck,non-casualty,3
17-20,Male,bus; heavy rigid or articulated truck,non-casualty,1
21-25,Male,bus; heavy rigid or articulated truck,non-casualty,25
26-29,Male,bus; heavy rigid or articulated truck,non-casualty,56
30-39,Male,bus; heavy rigid or articulated truck,non-casualty,213
40-49,Male,bus; heavy rigid or articulated truck,non-casualty,212
50-59,Male,bus; heavy rigid or articulated truck,non-casualty,159
>60,Male,bus; heavy rigid or articulated truck,non-casualty,32
26-29,Female,bus; heavy rigid or articulated truck,non-casualty,1
30-39,Female,bus; heavy rigid or articulated truck,non-casualty,2
40-49,Female,bus; heavy rigid or articulated truck,non-casualty,1
17-20,Male,bus; heavy rigid or articulated truck,non-casualty,3
21-25,Male,bus; heavy rigid or articulated truck,non-casualty,17
26-29,Male,bus; heavy rigid or articulated truck,non-casualty,19
30-39,Male,bus; heavy rigid or articulated truck,non-casualty,60
40-49,Male,bus; heavy rigid or articulated truck,non-casualty,92
50-59,Male,bus; heavy rigid or articulated truck,non-casualty,82
>60,Male,bus; heavy rigid or articulated truck,non-casualty,33
>60,Male,bus; heavy rigid or articulated truck,non-casualty,8
21-25,Female,bus; heavy rigid or articulated truck,non-casualty,1
26-29,Female,bus; heavy rigid or articulated truck,non-casualty,2
30-39,Female,bus; heavy rigid or articulated truck,non-casualty,9
40-49,Female,bus; heavy rigid or articulated truck,non-casualty,6
50-59,Female,bus; heavy rigid or articulated truck,non-casualty,8
>60,Female,bus; heavy rigid or articulated truck,non-casualty,2
17-20,Male,Motorcycle,non-casualty,15
21-25,Male,Motorcycle,non-casualty,36
26-29,Male,Motorcycle,non-casualty,26
30-39,Male,Motorcycle,non-casualty,56
40-49,Male,Motorcycle,non-casualty,26
50-59,Male,Motorcycle,non-casualty,11
>60,Male,Motorcycle,non-casualty,4
17-20,Female,Motorcycle,non-casualty,2
21-25,Female,Motorcycle,non-casualty,2
26-29,Female,Motorcycle,non-casualty,1
30-39,Female,Motorcycle,non-casualty,3
40-49,Female,Motorcycle,non-casualty,3
